"Question,Answer,Answer2,Answer3,Answer4"
"What year did World of Warcraft release?,2004,2005,2003,2006"
"What is the name of the WoW world?,Azeroth,Draenor,Nexus,Pandaria"
"Who is the Lich King?,Arthas,Illidan,Thrall,Varian"
"What race is Thrall?,Orc,Human,Troll,Dwarf"
"What class uses stealth in WoW?,Rogue,Mage,Warrior,Paladin"
"Who is the main villain of Burning Crusade?,Illidan,Arthas,Deathwing,Guldan"
"What expansion added Pandaren?,Mists of Pandaria,Cataclysm,Legion,Warlords"
"What is WoW's max level in Dragonflight?,70,60,80,75"
"What profession makes potions?,Alchemy,Blacksmithing,Enchanting,Mining"
"What raid is Onyxia in?,Onyxias Lair,Blackwing Lair,MC,Naxxramas"

"Who directed Jurassic Park?,Steven Spielberg,James Cameron,Ridley Scott,Peter Jackson"
"What movie features the quote 'I am your father'?,Star Wars,Matrix,Terminator,Gladiator"
"Who played Jack in Titanic?,Leonardo DiCaprio,Brad Pitt,Tom Cruise,Matt Damon"
"What is the highest grossing movie?,Avatar,Endgame,Titanic,Star Wars"
"What movie has a DeLorean time machine?,Back to the Future,Terminator,Matrix,Inception"
"Who is Iron Man?,Tony Stark,Bruce Wayne,Clark Kent,Peter Parker"
"What is the name of the hobbit played by Elijah Wood?,Frodo,Bilbo,Sam,Merry"
"What movie is about dreams within dreams?,Inception,Interstellar,Matrix,Tenet"
"Who directed Pulp Fiction?,Quentin Tarantino,Guy Ritchie,Nolan,Scorsese"
"What movie features a talking donkey?,Shrek,Toy Story,Ice Age,Aladdin"

"What is the capital of Japan?,Tokyo,Kyoto,Seoul,Beijing"
"How many continents are there?,7,5,6,8"
"What is the largest ocean?,Pacific,Atlantic,Indian,Arctic"
"How many sides does a hexagon have?,6,5,7,8"
"What is the currency of the USA?,Dollar,Euro,Yen,Peso"
"What is the fastest land animal?,Cheetah,Lion,Tiger,Gazelle"
"What year did WW2 end?,1945,1944,1939,1950"
"What is the tallest mountain?,Everest,K2,Kilimanjaro,Denali"
"How many days in a year?,365,366,360,364"
"What is H2O?,Water,Oxygen,Hydrogen,Salt"

"What planet is known as the Red Planet?,Mars,Venus,Jupiter,Saturn"
"What gas do humans breathe?,Oxygen,Carbon Dioxide,Nitrogen,Helium"
"What is the chemical symbol for gold?,Au,Ag,Fe,Go"
"What force keeps us on the ground?,Gravity,Magnetism,Friction,Pressure"
"How many bones in the human body?,206,201,210,250"
"What part of the cell contains DNA?,Nucleus,Ribosome,Mitochondria,Membrane"
"What is the speed of light?,299792458 m/s,150000000 m/s,1000000 m/s,300000 m/s"
"What gas do plants breathe?,Carbon Dioxide,Oxygen,Hydrogen,Nitrogen"
"What organ pumps blood?,Heart,Lungs,Brain,Liver"
"What is the hardest natural substance?,Diamond,Iron,Gold,Quartz"

"What console released in 1996?,Nintendo 64,PS2,Xbox,GameCube"
"Who is the main character of Zelda?,Link,Zelda,Ganon,Mario"
"What company made the PlayStation?,Sony,Microsoft,Nintendo,Sega"
"What game features Master Chief?,Halo,Call of Duty,Doom,Destiny"
"What is the best-selling game of all time?,Minecraft,GTA V,Tetris,Wii Sports"
"What color is Pac-Man?,Yellow,Red,Blue,Green"
"What game is known for creepers?,Minecraft,Fortnite,Roblox,Terraria"
"Who is Mario's brother?,Luigi,Wario,Yoshi,Toad"
"What does NPC stand for?,Non Player Character,New Play Character,Next Player Control,Non Play Control"
"What company made WoW?,Blizzard,Valve,EA,Ubisoft"

"What was the popular 90s virtual pet?,Tamagotchi,Furby,Gameboy,Walkman"
"What boy band sang 'I Want It That Way'?,Backstreet Boys,NSYNC,98 Degrees,Hanson"
"What show featured the character Ross Geller?,Friends,Seinfeld,Frasier,Cheers"
"What 90s movie featured dinosaurs?,Jurassic Park,Godzilla,King Kong,Jaws"
"What gaming device was huge in the 90s?,Game Boy,PS3,Switch,Xbox One"
"What 90s show had the theme song 'I'll Be There For You'?,Friends,Full House,Fresh Prince,Home Improvement"
"Who was the Fresh Prince?,Will Smith,Eddie Murphy,Chris Rock,Jamie Foxx"
"What toy was a 90s spinning battle toy?,Beyblade,Hot Wheels,YoYo,Lego"
"What Windows version was popular in late 90s?,Windows 98,XP,95,Vista"
"What was the highest grossing 90s movie?,Titanic,Jurassic Park,Star Wars,Matrix"

"What is the square root of 64?,8,6,7,9"
"How many planets in the solar system?,8,9,7,10"
"What is the boiling point of water C?,100,90,80,70"
"What is the largest mammal?,Blue Whale,Elephant,Giraffe,Hippo"
"What language has most native speakers?,Mandarin,English,Spanish,Hindi"
"What is the main gas in air?,Nitrogen,Oxygen,Hydrogen,Carbon Dioxide"
"What country made pizza famous?,Italy,France,USA,Greece"
"What is the capital of Canada?,Ottawa,Toronto,Vancouver,Montreal"
"What shape has 3 sides?,Triangle,Square,Pentagon,Circle"
"What is 5 x 5?,25,20,30,15"

"Who is the villain in The Dark Knight?,Joker,Bane,Two Face,Scarecrow"
"What element is Fe?,Iron,Gold,Silver,Tin"
"What galaxy do we live in?,Milky Way,Andromeda,Orion,Centauri"
"What is the smallest prime number?,2,1,3,5"
"What does HTTP stand for?,HyperText Transfer Protocol,High Transfer Text Protocol,Hyper Transfer Text Process,Home Tool Transfer Protocol"
"What year did the first iPhone release?,2007,2005,2008,2006"
"What is the freezing point of water C?,0,10,32,5"
"Who discovered gravity (legend)?,Newton,Einstein,Tesla,Galileo"
"What is the capital of Australia?,Canberra,Sydney,Melbourne,Perth"
"How many players on a soccer team?,11,10,9,12"
